ID	hemi
0	B
M081449	0
M048736	0
M036407	0
M055824	0
M123674	0
M109391	0
M129366	0
M129368	0
M129370	0
M129371	0
M133802	0
M133804	0
M133806	0
M133808	0
M132898	0
M132856	0
M128969	0
M128971	0
M129492	0
M129495	0
M132903	0
M132906	0
M019404	0
M132831	0
M079916	0
M132856	0
M133589	0
M133590	0
M133591	0
M133592	0
M133593	0
M133594	0
M133563	0
M133564	0
M133568	0
M133569	0
M133573	0
M133574	0
M019567	1
M019573	1
M019580	1
M019576	1
M019554	1
M019558	1
M019572	1
M019492	1
M019494	1
M019499	1
M019502	1
M019512	1
M019514	1
M019510	1
M019513	1
M019515	1
M019516	1
M019519	1
M019528	1
M019530	1
M019533	1
M019535	1
M019536	1
M019537	1
M019538	1
M019597	1
M019605	1
M019609	1
M019618	1
M019644	1
M019651	1
M019657	1
M019695	1
M019700	1
M019704	1
M019802	1
M019825	1
M019594	1
